iter	Passed	Remaining
0	0	561
1	0	487
2	1	433
3	1	398
4	1	380
5	2	365
6	2	357
7	2	348
8	3	341
9	3	336
10	3	333
11	4	330
12	4	326
13	4	326
14	4	327
15	5	328
16	5	330
17	6	338
18	6	358
19	7	364
20	7	362
21	8	359
22	8	357
23	8	355
24	9	354
25	9	353
26	9	353
27	10	352
28	10	351
29	10	350
30	11	349
31	11	349
32	11	349
33	12	348
34	12	352
35	13	354
36	13	357
37	14	360
38	14	359
39	14	358
40	15	360
41	15	359
42	16	358
43	16	357
44	16	358
45	17	358
46	17	358
47	18	357
48	18	356
49	18	355
50	19	358
51	19	360
52	20	361
53	21	374
54	21	372
55	21	370
56	22	368
57	22	367
58	22	366
59	23	365
60	23	364
61	24	363
62	24	362
63	24	361
64	25	360
65	25	360
66	26	363
67	26	362
68	26	362
69	27	361
70	27	360
71	27	359
72	28	358
73	28	357
74	28	357
75	29	356
76	29	355
77	30	354
78	30	353
79	30	352
80	31	351
81	31	351
82	31	350
83	32	351
84	32	349
85	32	349
86	33	349
87	33	348
88	34	348
89	34	347
90	34	347
91	35	346
92	35	346
93	35	345
94	36	344
95	36	344
96	36	343
97	37	342
98	37	342
99	37	341
100	38	341
101	38	339
102	39	340
103	39	340
104	40	341
105	40	340
106	40	339
107	40	338
108	41	337
109	41	337
110	41	336
111	42	335
112	42	335
113	43	334
114	43	334
115	43	332
116	44	332
117	44	332
118	44	330
119	45	330
120	45	330
121	45	330
122	46	329
123	46	329
124	46	328
125	47	327
126	47	327
127	47	325
128	48	325
129	48	325
130	48	324
131	49	324
132	49	323
133	49	323
134	51	329
135	52	330
136	52	331
137	53	331
138	53	330
139	53	329
140	54	329
141	54	328
142	54	328
143	55	327
144	55	327
145	55	326
146	56	325
147	56	325
148	56	324
149	57	324
150	57	323
151	57	323
152	58	323
153	59	324
154	59	324
155	59	324
156	60	323
157	60	322
158	60	322
159	61	321
160	61	320
161	61	320
162	62	319
163	62	318
164	62	318
165	63	317
166	63	317
167	63	316
168	64	316
169	64	316
170	65	317
171	65	317
172	66	316
173	66	316
174	66	315
175	67	314
176	67	314
177	67	313
178	68	313
179	68	312
180	68	311
181	69	310
182	69	310
183	69	309
184	70	309
185	70	308
186	70	308
187	71	308
188	71	307
189	72	307
190	72	307
191	72	307
192	73	306
193	73	306
194	74	305
195	74	305
196	74	304
197	75	304
198	75	303
199	75	303
200	76	302
201	76	302
202	76	301
203	77	301
204	77	300
205	78	301
206	78	300
207	79	301
208	79	300
209	79	300
210	80	299
211	80	298
212	80	298
213	81	297
214	81	297
215	81	296
216	82	296
217	82	295
218	82	295
219	83	294
220	83	294
221	83	294
222	84	293
223	84	294
224	85	294
225	85	293
226	86	293
227	86	292
228	86	292
229	87	291
230	87	291
231	87	290
232	88	290
233	88	289
234	88	289
235	89	288
236	89	288
237	89	287
238	90	287
239	90	286
240	91	286
241	91	286
242	92	286
243	92	286
244	92	285
245	93	285
246	93	284
247	93	284
248	94	283
249	94	283
250	94	283
251	95	282
252	95	282
253	95	281
254	96	280
255	96	280
256	96	280
257	97	279
258	97	279
259	98	279
260	98	279
261	98	278
262	99	278
263	99	277
264	99	277
265	100	276
266	100	276
267	100	275
268	101	275
269	101	274
270	101	274
271	102	273
272	102	273
273	103	272
274	103	272
275	103	272
276	104	272
277	104	272
278	105	271
279	105	271
280	105	271
281	106	270
282	106	270
283	106	269
284	107	269
285	107	268
286	107	268
287	108	267
288	108	267
289	109	266
290	109	266
291	109	266
292	110	265
293	110	265
294	110	264
295	111	264
296	111	264
297	112	264
298	112	263
299	112	263
300	113	262
301	113	262
302	113	262
303	114	261
304	114	261
305	115	260
306	115	260
307	115	259
308	116	259
309	116	259
310	116	258
311	117	258
312	117	258
313	118	257
314	118	257
315	118	257
316	119	256
317	119	256
318	119	255
319	120	255
320	120	254
321	120	254
322	121	253
323	121	253
324	121	253
325	122	252
326	122	252
327	122	251
328	123	251
329	123	251
330	124	250
331	124	250
332	125	250
333	125	250
334	125	249
335	126	249
336	126	248
337	126	248
338	127	247
339	127	247
340	127	246
341	128	246
342	128	246
343	128	245
344	129	245
345	129	244
346	129	244
347	130	243
348	130	243
349	131	243
350	131	243
351	131	242
352	132	242
353	132	241
354	132	241
355	133	240
356	133	240
357	133	240
358	134	239
359	134	239
360	134	238
361	136	240
362	136	240
363	137	239
364	137	239
365	138	239
366	138	238
367	138	238
368	139	237
369	139	237
370	139	237
371	140	236
372	140	236
373	140	235
374	141	235
375	141	235
376	141	234
377	142	234
378	142	233
379	143	233
380	143	233
381	143	232
382	144	232
383	144	232
384	144	231
385	145	231
386	145	230
387	145	230
388	146	229
389	146	229
390	147	229
391	147	228
392	147	228
393	148	227
394	148	227
395	148	226
396	149	226
397	149	226
398	149	225
399	150	225
400	150	225
401	150	224
402	151	224
403	151	223
404	151	223
405	152	222
406	152	222
407	153	222
408	153	221
409	153	221
410	154	220
411	154	220
412	154	219
413	155	219
414	155	219
415	155	218
416	156	218
417	156	218
418	157	218
419	157	217
420	157	217
421	158	216
422	158	216
423	158	215
424	159	215
425	159	215
426	159	214
427	160	214
428	160	213
429	160	213
430	161	212
431	161	212
432	161	212
433	162	211
434	162	211
435	163	211
436	163	210
437	163	210
438	164	209
439	164	209
440	164	209
441	165	208
442	165	208
443	165	207
444	166	207
445	166	206
446	166	206
447	167	206
448	167	205
449	167	205
450	168	204
451	168	204
452	169	204
453	169	203
454	169	203
455	170	203
456	170	202
457	170	202
458	171	201
459	171	201
460	171	200
461	172	200
462	172	200
463	172	199
464	173	199
465	173	198
466	173	198
467	174	198
468	174	197
469	174	197
470	175	196
471	175	196
472	176	196
473	176	195
474	176	195
475	177	195
476	177	194
477	177	194
478	178	193
479	178	193
480	178	192
481	179	192
482	179	192
483	179	191
484	180	191
485	180	190
486	180	190
487	181	190
488	181	189
489	181	189
490	182	188
491	182	188
492	183	188
493	183	187
494	183	187
495	184	187
496	184	186
497	184	186
498	185	185
499	185	185
500	185	185
501	186	184
502	186	184
503	186	183
504	187	183
505	187	183
506	187	182
507	188	182
508	188	181
509	188	181
510	189	181
511	189	180
512	190	180
513	190	180
514	190	179
515	191	179
516	191	178
517	191	178
518	192	178
519	192	177
520	192	177
521	193	176
522	193	176
523	193	176
524	194	175
525	194	175
526	194	175
527	195	174
528	195	174
529	196	173
530	196	173
531	196	173
532	197	172
533	197	172
534	197	172
535	198	171
536	198	171
537	198	170
538	199	170
539	199	170
540	199	169
541	200	169
542	200	168
543	200	168
544	201	168
545	201	167
546	201	167
547	202	166
548	202	166
549	203	166
550	203	165
551	203	165
552	204	165
553	204	164
554	204	164
555	205	163
556	205	163
557	205	163
558	206	162
559	206	162
560	207	162
561	207	161
562	207	161
563	208	160
564	208	160
565	208	160
566	209	159
567	209	159
568	210	159
569	210	158
570	210	158
571	211	157
572	211	157
573	211	157
574	211	156
575	212	156
576	212	155
577	213	155
578	213	155
579	213	154
580	214	154
581	214	154
582	214	153
583	215	153
584	215	152
585	216	152
586	216	152
587	216	151
588	217	151
589	217	151
590	217	150
591	218	150
592	218	149
593	218	149
594	219	149
595	219	148
596	219	148
597	220	147
598	220	147
599	220	147
600	221	146
601	221	146
602	221	146
603	222	145
604	222	145
605	223	145
606	223	144
607	223	144
608	224	143
609	224	143
610	224	143
611	225	142
612	225	142
613	225	142
614	226	141
615	226	141
616	226	140
617	227	140
618	227	140
619	227	139
620	228	139
621	228	139
622	229	138
623	229	138
624	229	137
625	230	137
626	230	137
627	230	136
628	231	136
629	231	135
630	231	135
631	232	135
632	232	134
633	232	134
634	233	134
635	233	133
636	233	133
637	234	132
638	234	132
639	234	132
640	235	131
641	235	131
642	236	131
643	236	130
644	236	130
645	237	129
646	237	129
647	237	129
648	238	128
649	238	128
650	238	128
651	239	127
652	239	127
653	239	126
654	240	126
655	240	126
656	240	125
657	241	125
658	241	125
659	242	124
660	242	124
661	242	124
662	243	123
663	243	123
664	243	122
665	244	122
666	244	122
667	244	121
668	245	121
669	245	120
670	246	120
671	246	120
672	246	119
673	247	119
674	247	119
675	247	118
676	248	118
677	248	118
678	249	117
679	249	117
680	249	116
681	250	116
682	250	116
683	250	115
684	251	115
685	251	115
686	251	114
687	252	114
688	252	113
689	252	113
690	253	113
691	253	112
692	253	112
693	254	112
694	254	111
695	254	111
696	255	110
697	255	110
698	256	110
699	256	109
700	256	109
701	257	109
702	257	108
703	257	108
704	258	108
705	258	107
706	258	107
707	259	106
708	259	106
709	259	106
710	260	105
711	260	105
712	260	105
713	261	104
714	261	104
715	262	103
716	262	103
717	262	103
718	263	102
719	263	102
720	263	102
721	264	101
722	264	101
723	264	100
724	265	100
725	265	100
726	265	99
727	266	99
728	266	99
729	266	98
730	267	98
731	267	97
732	268	97
733	268	97
734	268	96
735	269	96
736	269	96
737	269	95
738	270	95
739	270	95
740	270	94
741	271	94
742	271	93
743	271	93
744	272	93
745	272	92
746	273	92
747	273	92
748	273	91
749	274	91
750	274	90
751	274	90
752	275	90
753	275	89
754	276	89
755	276	89
756	277	88
757	277	88
758	277	88
759	278	87
760	278	87
761	279	87
762	279	86
763	279	86
764	280	86
765	280	85
766	280	85
767	281	84
768	281	84
769	282	84
770	282	83
771	282	83
772	283	83
773	283	82
774	283	82
775	284	82
776	284	81
777	284	81
778	285	80
779	285	80
780	285	80
781	286	79
782	286	79
783	287	79
784	287	78
785	287	78
786	288	78
787	288	77
788	289	77
789	289	76
790	289	76
791	290	76
792	290	75
793	291	75
794	291	75
795	291	74
796	292	74
797	292	74
798	292	73
799	293	73
800	293	72
801	293	72
802	294	72
803	294	71
804	295	71
805	295	71
806	295	70
