iter	Passed	Remaining
0	0	626
1	0	467
2	1	414
3	1	388
4	1	373
5	2	362
6	2	355
7	2	353
8	3	345
9	3	339
10	3	335
11	4	331
12	4	327
13	4	324
14	4	321
15	5	318
16	5	321
17	5	322
18	6	346
19	7	377
20	8	393
21	8	392
22	9	387
23	9	382
24	9	382
25	11	422
26	11	428
27	12	425
28	12	421
29	12	416
30	13	413
31	13	409
32	13	405
33	14	401
34	14	397
35	14	393
36	14	389
37	15	386
38	15	383
39	15	380
40	16	377
41	16	375
42	16	373
43	17	371
44	17	368
45	17	367
46	18	366
47	18	364
48	18	362
49	19	361
50	19	358
51	19	356
52	19	355
53	20	355
54	20	355
55	20	353
56	21	358
57	22	368
58	23	371
59	24	378
60	24	382
61	25	387
62	26	388
63	26	386
64	26	384
65	27	384
66	27	386
67	28	386
68	28	384
69	28	383
70	29	383
71	29	382
72	29	380
73	30	378
74	30	376
75	30	374
76	31	373
77	31	371
78	31	369
79	32	368
80	32	366
81	32	364
82	32	361
83	32	359
84	33	358
85	33	356
86	33	355
87	34	354
88	34	352
89	34	351
90	35	353
91	35	352
92	36	351
93	36	351
94	39	375
95	40	378
96	40	376
97	40	375
98	41	377
99	41	376
100	42	378
101	42	377
102	43	375
103	43	374
104	43	372
105	44	371
106	44	369
107	44	368
108	44	367
109	45	365
110	45	364
111	45	362
112	46	363
113	46	361
114	46	360
115	47	359
116	47	357
117	47	355
118	47	355
119	48	354
120	48	352
121	48	350
122	49	349
123	49	348
124	49	347
125	49	345
126	50	344
127	50	345
128	51	345
129	51	345
130	52	346
131	52	348
132	55	363
133	56	363
134	56	363
135	57	366
136	57	365
137	58	363
138	58	362
139	58	361
140	59	360
141	59	359
142	59	357
143	60	356
144	60	355
145	60	355
146	61	354
147	61	352
148	62	355
149	62	354
150	62	353
151	63	352
152	63	351
153	63	350
154	64	349
155	64	348
156	64	347
157	65	346
158	65	345
159	66	346
160	66	345
161	66	345
162	67	345
163	67	344
164	68	346
165	72	362
166	72	363
167	73	365
168	74	364
169	74	363
170	74	362
171	75	361
172	75	361
173	75	360
174	76	359
175	77	360
176	78	366
177	79	366
178	79	366
179	80	365
180	80	364
181	80	363
182	81	364
183	82	366
184	83	369
185	84	370
186	85	370
187	85	370
188	86	373
189	87	372
190	89	377
191	89	376
192	89	376
193	90	374
194	90	373
195	90	372
196	91	371
197	91	370
198	91	369
199	92	368
200	92	367
201	92	366
202	93	365
203	93	364
204	93	363
205	94	362
206	94	361
207	94	360
208	94	359
209	95	358
210	95	357
211	95	356
212	96	355
213	96	354
214	96	353
215	97	353
216	100	362
217	101	363
218	101	362
219	102	362
220	104	367
221	104	367
222	105	367
223	106	367
224	106	366
225	106	366
226	107	365
227	107	364
228	108	364
229	108	363
230	108	362
231	109	361
232	109	360
233	109	359
234	110	358
235	110	357
236	110	356
237	111	355
238	111	354
239	111	353
240	112	353
241	114	357
242	115	359
243	116	362
244	117	361
245	118	363
246	120	366
247	120	365
248	121	365
249	121	365
250	122	366
251	123	366
252	123	365
253	124	364
254	124	364
255	124	363
256	125	362
257	125	361
258	126	361
259	127	362
260	128	363
261	129	364
262	132	371
263	133	372
264	134	371
265	134	371
266	134	370
267	135	369
268	135	368
269	136	368
270	136	367
271	136	366
272	137	365
273	137	364
274	137	363
275	138	362
276	138	361
277	138	360
278	139	359
279	139	358
280	139	357
281	140	356
282	140	355
283	140	354
284	140	353
285	141	352
286	146	364
287	146	363
288	147	363
289	148	364
290	149	363
291	149	362
292	149	361
293	150	360
294	150	360
295	151	359
296	151	358
297	151	357
298	152	356
299	152	356
300	152	355
301	153	354
302	153	353
303	153	352
304	154	351
305	154	350
306	154	349
307	155	348
308	155	347
309	155	346
310	156	345
311	156	345
312	156	344
313	157	343
314	158	343
315	158	343
316	159	343
317	160	343
318	160	343
319	161	343
320	162	343
321	163	343
322	164	343
323	164	343
324	164	342
325	165	341
326	165	340
327	166	340
328	166	339
329	166	338
330	167	337
331	167	336
332	167	336
333	168	335
334	169	336
335	170	336
336	170	336
337	171	335
338	171	334
339	172	334
340	172	333
341	173	334
342	174	334
343	175	334
344	175	333
345	176	333
346	176	332
347	177	332
348	178	332
349	178	331
350	178	330
351	179	329
352	179	328
353	179	328
354	180	327
355	180	326
356	180	325
357	181	324
358	181	323
359	181	322
360	181	322
361	182	321
362	182	320
363	182	319
364	183	318
365	183	317
366	183	317
367	184	316
368	184	315
369	184	314
370	185	313
371	185	313
372	185	312
373	186	311
374	186	310
375	186	310
376	187	310
377	188	310
378	189	310
379	190	310
380	191	310
381	191	310
382	192	309
383	192	308
384	192	308
385	193	307
386	194	307
387	194	306
388	194	306
389	195	305
390	195	304
391	196	304
392	196	303
393	197	303
394	197	302
395	197	301
396	198	300
397	198	300
398	198	299
399	199	298
400	199	297
401	199	296
402	199	296
403	200	295
404	200	294
405	200	293
406	201	293
407	201	292
408	201	291
409	202	291
410	204	293
411	206	294
412	206	293
413	206	292
414	208	294
415	209	294
416	210	293
417	210	292
418	210	292
419	211	291
420	211	290
421	211	289
422	211	289
423	212	288
424	212	287
425	216	291
426	216	290
427	217	290
428	217	289
429	218	289
430	220	290
431	220	290
432	221	289
433	222	289
434	222	288
435	222	288
436	223	287
437	223	287
438	224	286
439	224	285
440	224	284
441	225	284
442	225	283
443	225	282
444	226	281
445	226	281
446	226	280
447	226	279
448	227	278
449	227	278
450	227	277
451	228	276
452	228	275
453	228	275
454	229	274
455	229	273
456	229	272
457	230	272
458	230	271
459	230	270
460	230	270
461	231	269
462	231	268
463	232	268
464	232	267
465	233	267
466	235	269
467	236	269
468	237	268
469	237	267
470	237	266
471	238	266
472	238	265
473	238	265
474	239	264
475	239	263
476	239	263
477	240	262
478	240	261
479	240	260
480	241	260
481	241	259
482	241	258
483	242	258
484	242	257
485	243	257
486	243	256
487	243	255
488	243	254
489	244	254
490	244	253
491	244	252
492	245	252
493	245	251
494	245	250
495	246	250
496	246	249
497	247	249
498	247	248
499	248	248
500	248	247
501	249	247
502	250	247
503	250	246
504	251	246
505	252	246
506	252	245
507	253	245
508	254	245
509	254	244
510	255	244
511	255	243
512	256	243
513	256	242
514	256	241
515	257	241
516	257	240
517	257	239
518	258	239
519	258	238
520	258	238
521	259	237
522	259	237
523	260	236
524	261	236
525	261	235
526	262	235
527	263	235
528	264	235
529	265	235
530	265	234
531	266	234
532	267	234
533	268	234
534	269	233
535	269	233
536	269	232
537	270	231
538	270	231
539	270	230
540	270	229
541	271	229
542	271	228
543	271	227
544	271	227
545	272	226
546	272	225
547	272	224
548	273	224
549	273	223
550	274	223
551	274	223
552	276	223
553	277	223
554	277	222
555	278	222
556	278	221
557	278	220
558	279	220
559	280	220
560	280	219
561	280	218
562	281	218
563	281	217
564	281	216
565	282	216
566	282	215
567	282	214
568	282	214
569	283	213
570	283	213
571	283	212
572	284	211
573	284	211
574	284	210
575	285	209
576	285	209
577	285	208
578	286	208
579	286	207
580	286	206
581	287	206
582	287	205
583	287	205
584	288	204
585	288	203
586	288	203
587	289	202
588	289	202
589	290	202
590	291	201
591	292	201
592	292	200
593	293	200
594	293	199
595	294	199
596	294	198
597	295	198
598	295	197
599	295	197
600	296	196
601	296	195
602	296	195
603	296	194
604	297	194
605	297	193
606	297	192
607	298	192
608	298	191
609	298	191
610	299	190
611	299	189
612	299	189
613	302	190
614	305	191
615	306	190
616	306	190
617	307	189
618	307	189
619	308	188
620	308	188
621	308	187
622	309	187
623	310	187
624	310	186
625	311	185
626	311	185
627	311	184
628	311	184
629	312	183
630	312	182
631	312	182
632	313	181
633	313	180
634	313	180
635	313	179
636	314	179
637	314	178
638	314	177
639	314	177
640	315	176
641	315	175
642	315	175
643	316	174
644	316	174
645	316	173
646	316	172
647	317	172
648	318	172
649	318	171
650	318	170
651	319	170
652	320	170
653	321	169
654	321	169
655	322	169
656	322	168
657	323	167
658	323	167
659	323	166
660	324	166
661	325	165
662	325	165
663	325	164
664	326	164
665	326	163
666	326	163
667	326	162
668	327	161
669	327	161
670	327	160
671	328	160
672	328	159
673	328	158
674	328	158
675	329	157
676	330	157
677	330	157
678	331	156
679	331	155
680	331	155
681	332	154
682	332	154
683	332	153
684	332	153
685	333	152
686	333	152
687	335	152
688	336	151
689	336	151
690	337	150
691	337	150
692	338	149
693	338	149
694	338	148
695	339	148
696	340	147
697	341	147
698	341	147
699	341	146
700	342	146
701	342	145
702	342	144
703	343	144
704	343	143
705	344	143
706	344	142
707	345	142
708	345	141
709	345	141
710	346	140
711	346	140
712	346	139
713	347	139
714	347	138
715	347	137
716	348	137
717	348	136
718	348	136
719	349	135
720	350	135
721	350	135
722	351	134
723	351	134
724	352	133
725	352	133
726	353	132
727	353	132
728	354	131
729	354	131
730	355	130
731	355	130
732	355	129
733	356	129
734	356	128
735	356	127
736	357	127
737	357	126
738	357	126
739	357	125
740	358	125
741	358	124
742	358	124
743	358	123
744	359	122
745	359	122
746	359	121
747	360	121
748	360	120
749	360	120
750	361	119
751	361	119
752	361	118
753	361	118
754	362	117
755	362	117
756	363	116
757	363	116
758	364	115
759	365	115
760	366	114
761	366	114
762	367	114
763	367	113
764	368	113
765	368	112
766	369	112
767	369	111
768	370	111
769	370	110
770	370	110
771	371	109
772	371	109
773	371	108
774	371	107
775	372	107
776	372	106
777	372	106
778	373	105
779	373	105
780	373	104
781	374	104
782	374	103
783	374	103
784	375	102
785	375	102
786	375	101
787	375	101
788	376	100
789	376	100
790	376	99
791	377	99
792	377	98
793	377	97
794	378	97
795	378	97
796	379	96
797	380	96
798	381	95
799	381	95
800	382	94
801	382	94
802	383	94
803	383	93
804	383	93
805	384	92
806	385	92
807	385	91
808	386	91
809	386	90
810	386	90
811	387	89
812	387	89
813	387	88
814	387	88
815	388	87
816	388	87
817	388	86
818	389	85
819	389	85
820	389	84
821	389	84
822	390	83
